INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../tb_rotator.cpp in debug mode
   Compiling ../../../../rotator.cpp in debug mode
   Generating csim.exe
At time 0, q = 0
At time 1, q = 0
At time 2, q = 0
At time 3, q = 0
At time 4, q = 0
At time 5, q = 0
At time 6, q = 0
At time 7, q = 0
At time 8, q = 0
At time 9, q = 0
At time 10, q = 0
At time 11, q = 0
At time 12, q = 0
At time 13, q = 0
At time 14, q = 0
At time 15, q = 0
At time 16, q = 0
At time 17, q = 0
At time 18, q = 0
At time 19, q = 0
At time 20, q = 0
At time 21, q = 0
At time 22, q = 0
At time 23, q = 0
At time 24, q = 0
At time 25, q = 0
At time 26, q = 0
At time 27, q = 0
At time 28, q = 0
At time 29, q = 0
At time 30, q = 0
At time 31, q = 0
At time 32, q = 0
At time 33, q = 0
At time 34, q = 0
At time 35, q = 0
At time 36, q = 0
At time 37, q = 0
At time 38, q = 0
At time 39, q = 0
At time 40, q = 0
At time 41, q = 0
At time 42, q = 0
At time 43, q = 0
At time 44, q = 0
At time 45, q = 0
At time 46, q = 0
At time 47, q = 0
At time 48, q = 0
At time 49, q = 0
At time 50, q = 18446744073709551615
At time 51, q = 9223372036854775807
At time 52, q = 4611686018427387903
At time 53, q = 2305843009213693951
At time 54, q = 1152921504606846975
At time 55, q = 576460752303423487
At time 56, q = 288230376151711743
At time 57, q = 144115188075855871
At time 58, q = 72057594037927935
At time 59, q = 36028797018963967
At time 60, q = 18014398509481983
At time 61, q = 9007199254740991
At time 62, q = 4503599627370495
At time 63, q = 2251799813685247
At time 64, q = 1125899906842623
At time 65, q = 562949953421311
At time 66, q = 281474976710655
At time 67, q = 140737488355327
At time 68, q = 70368744177663
At time 69, q = 35184372088831
At time 70, q = 17592186044415
At time 71, q = 8796093022207
At time 72, q = 4398046511103
At time 73, q = 2199023255551
At time 74, q = 1099511627775
At time 75, q = 549755813887
At time 76, q = 274877906943
At time 77, q = 137438953471
At time 78, q = 68719476735
At time 79, q = 34359738367
At time 80, q = 17179869183
At time 81, q = 8589934591
At time 82, q = 4294967295
At time 83, q = 2147483647
At time 84, q = 1073741823
At time 85, q = 536870911
At time 86, q = 268435455
At time 87, q = 134217727
At time 88, q = 67108863
At time 89, q = 33554431
At time 90, q = 16777215
At time 91, q = 8388607
At time 92, q = 4194303
At time 93, q = 2097151
At time 94, q = 1048575
At time 95, q = 524287
At time 96, q = 262143
At time 97, q = 131071
At time 98, q = 65535
At time 99, q = 32767
At time 100, q = 65534
At time 101, q = 131068
At time 102, q = 262136
At time 103, q = 524272
At time 104, q = 1048544
At time 105, q = 2097088
At time 106, q = 4194176
At time 107, q = 8388352
At time 108, q = 16776704
At time 109, q = 33553408
At time 110, q = 67106816
At time 111, q = 134213632
At time 112, q = 268427264
At time 113, q = 536854528
At time 114, q = 1073709056
At time 115, q = 2147418112
At time 116, q = 4294836224
At time 117, q = 8589672448
At time 118, q = 17179344896
At time 119, q = 34358689792
At time 120, q = 68717379584
At time 121, q = 137434759168
At time 122, q = 274869518336
At time 123, q = 549739036672
At time 124, q = 1099478073344
At time 125, q = 2198956146688
At time 126, q = 4397912293376
At time 127, q = 8795824586752
At time 128, q = 17591649173504
At time 129, q = 35183298347008
At time 130, q = 70366596694016
At time 131, q = 140733193388032
At time 132, q = 281466386776064
At time 133, q = 562932773552128
At time 134, q = 1125865547104256
At time 135, q = 2251731094208512
At time 136, q = 4503462188417024
At time 137, q = 9006924376834048
At time 138, q = 18013848753668096
At time 139, q = 36027697507336192
At time 140, q = 72055395014672384
At time 141, q = 144110790029344768
At time 142, q = 288221580058689536
At time 143, q = 576443160117379072
At time 144, q = 1152886320234758144
At time 145, q = 2305772640469516288
At time 146, q = 4611545280939032576
At time 147, q = 9223090561878065152
At time 148, q = 18446181123756130304
At time 149, q = 18445618173802708992
At time 150, q = 18444492273895866368
At time 151, q = 18442240474082181120
At time 152, q = 18437736874454810624
At time 153, q = 18428729675200069632
At time 154, q = 18410715276690587648
At time 155, q = 18374686479671623680
At time 156, q = 18302628885633695744
At time 157, q = 18158513697557839872
At time 158, q = 17870283321406128128
At time 159, q = 17293822569102704640
At time 160, q = 16140901064495857664
At time 161, q = 13835058055282163712
At time 162, q = 9223372036854775808
At time 163, q = 0
At time 164, q = 0
At time 165, q = 0
At time 166, q = 0
At time 167, q = 0
At time 168, q = 0
At time 169, q = 0
At time 170, q = 0
At time 171, q = 0
At time 172, q = 0
At time 173, q = 0
At time 174, q = 0
At time 175, q = 0
At time 176, q = 0
At time 177, q = 0
At time 178, q = 0
At time 179, q = 0
At time 180, q = 0
At time 181, q = 0
At time 182, q = 0
At time 183, q = 0
At time 184, q = 0
At time 185, q = 0
At time 186, q = 0
At time 187, q = 0
At time 188, q = 0
At time 189, q = 0
At time 190, q = 0
At time 191, q = 0
At time 192, q = 0
At time 193, q = 0
At time 194, q = 0
At time 195, q = 0
At time 196, q = 0
At time 197, q = 0
At time 198, q = 0
At time 199, q = 0
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
